idade;lower;mean;median;upper
13;382283,92625284;542713,5159565476;496340,6943619344;649042,0955255087
14;394518,20141762454;551722,2369373869;505784,61244234757;654741,8833693899
15;391315,475409767;546839,3490871846;497262,4009782398;641705,6781379171
16;399195,4604857349;552270,467239488;505742,00100428826;650122,007603992
17;407563,9653469215;551364,0611045602;510528,8026102523;647955,2194695924
18;411712,7227830962;552294,5742319663;511292,0142714077;644363,2164082847
19;419628,4858200767;553934,0946051338;514449,8959751363;645509,9647306879
20;415202,69287632836;549415,5141918582;513022,2195530841;640124,1195762974
21;423405,97001906624;549204,0849262546;515069,08998930705;633484,763301393
22;420292,30718315963;535472,6057587111;503087,8528489949;614825,3575940357
23;419682,5085804806;537661,8318230283;505834,3240365929;617180,8495412421
24;422019,5652011511;532596,2471680224;503290,88398031465;608599,5556661828
25;416300,94636295043;526265,9332087564;497125,8586391046;604628,4443027488
26;417611,59517591336;521214,5418214592;496388,6077059267;597289,1779600882
27;413151,06074114377;512339,46778539894;486774,6319533744;584017,2933292758
28;409662,88190086506;503071,62236979615;479835,27679054765;571637,1152163084
29;406064,6407432568;494254,53253487084;473174,53847008734;559488,7316924689
30;400462,6952969412;482369,575432918;464542,8782325135;545216,328549629
31;394465,4574321433;474611,2779275844;459068,7730276403;534199,1665991596
32;386722,43931490224;463062,6396674164;446080,70770121715;519680,4446986715
33;379286,73616724816;450927,42180963355;434150,49664015474;504206,636709793
34;372568,5014877415;440824,4500547189;426294,24461703503;494070,17203235935
35;362642,69343401847;425242,9253609948;412914,442494415;475237,1824452851
36;354582,37965460884;415593,52469540964;403091,3455853875;461644,33327416854
37;345919,2918815386;403236,7206884978;391700,3264087667;449234,1068982134
38;339034,65060590545;389962,3315440253;380465,31803308;430926,4715367384
39;327721,15116896306;378524,06781768234;368124,5089984857;421057,34865709045
40;315285,0137526387;361702,60017898306;352362,08974599204;398377,9541490443
41;304144,5209228442;347660,7271744629;338788,66772688786;381578,16421071574
42;296218,6270871763;335699,08585418144;329329,79422711715;370251,09792681
43;285490,6199497748;323632,677216127;316404,0963796517;353723,79549394647
44;271323,4604791837;307314,32658983447;301577,29952774744;335215,9876319196
45;261246,04260404836;292752,3403780882;287580,94389717677;319052,56780398823
46;248278,27118117776;278010,3796413101;273437,1172035405;302319,2404506504
47;237354,6904923178;264996,3670434711;260909,4026889388;288079,39760767075
48;227690,77804955002;251836,8675826632;248265,613734322;272133,22686207667
49;215195,17864681472;237282,40513089247;233834,75347618308;255645,59577799178
50;204034,46652071003;225259,96337614843;222417,56651745233;243382,14835334313
51;192524,04599857682;211466,84259507674;208850,55365658033;227432,83615561776
52;181093,1128790657;198221,4901993223;195984,8828598577;212636,23452597586
53;169896,12869307198;185207,9425497874;183400,61006994447;198537,41052996306
54;159571,2217806539;173792,92327655136;171828,6143936917;186677,69167179702
55;149011,73431864195;161548,21963671967;160248,28388382192;172171,36820957117
56;138937,9377106452;150128,43402788142;148885,37101825952;160043,90006634165
57;128664,16830232195;138506,6436654347;137583,42607291762;147324,12764580135
58;119522,26753321014;128475,25863197364;127549,75029517994;136366,56237070655
59;109856,46019122051;117807,8965644194;117063,21232699679;124700,68273284611
60;100911,6627213785;107751,03611799603;106975,60357748588;113928,4672008166
61;92264,25928972305;97965,23790815067;97492,13047702746;103056,0946489919
62;84274,02053193524;89353,4594427296;88858,65184887315;94102,29057829654
63;76126,41668055647;80517,80164376352;80167,1657768573;84559,40055462511
64;68480,26929072019;72268,96268988082;71975,0912501341;75639,50529972269
65;61487,84070497972;64677,358646946734;64384,65867454448;67578,20940492263
66;54702,36140608319;57385,18869938528;57175,979984622805;59927,350000178376
67;48168,58145447441;50381,9322576881;50200,26293657725;52337,473635472925
68;42138,12211059252;43972,907610115966;43880,015352607086;45680,089489537786
69;36621,231066226654;38064,02276828291;38035,33676930627;39426,95994740483
70;31374,34164969624;32515,748185712026;32424,858223599258;33607,93933805225
71;26648,519188413484;27571,779182984017;27517,975429585702;28409,191261084496
72;22359,7930463041;23032,972036446663;22998,373281504817;23647,56236354566
73;18390,90117609274;18897,683232534564;18872,90620552432;19383,035704195885
74;14883,964634963555;15244,137671513608;15230,056073783262;15572,052111125793
75;11741,082568865868;11993,977982035045;11978,850062926778;12229,22740147443
76;9020,240231674594;9185,664856578134;9183,136566641206;9345,903268110978
77;6671,460192195979;6772,768780464895;6770,342788357568;6872,343879451195
78;4693,747043388193;4752,350786968239;4751,349942231542;4808,892867041354
79;3082,140498378927;3110,0027191673444;3109,4167677794526;3138,306721312526
80;1817,2537954118095;1828,5704724186742;1828,356962638779;1839,3204027574513
81;891,6516329971453;894,3793227302368;894,3051402308956;897,0443791896964
82;290,49355288801667;290,4935528880167;290,49355288801667;290,49355288801667
83;0,0;0,0;0,0;0,0
84;0,0;0,0;0,0;0,0
85;0,0;0,0;0,0;0,0
86;0,0;0,0;0,0;0,0
87;0,0;0,0;0,0;0,0
88;0,0;0,0;0,0;0,0
89;0,0;0,0;0,0;0,0
90;0,0;0,0;0,0;0,0
