;remuneracao_media;numero_empregados;estado;ano
0;4.796754249783734;153949;SP;2001
0;4.325875175973433;155563;SP;2002
0;3.9190984762019276;148970;SP;2003
0;3.8553369394192134;143646;SP;2004
0;3.7231488274276945;163572;SP;2005
0;3.2972053994270745;176315;SP;2006
0;3.1109350376371454;181736;SP;2007
0;2.93351924961108;208212;SP;2008
0;2.752805680543874;222021;SP;2009
0;2.553140778861788;249107;SP;2010
0;2.513142151762999;273004;SP;2011
0;2.344184880006616;308016;SP;2012
0;2.328562497073689;320375;SP;2013
0;2.4535711191338296;311625;SP;2014
0;2.436472708368563;286608;SP;2015
