,renda_hat,renda_modelo
13,8643.271799438477,[ -0.47725358  52.02774152  69.16227589]
14,9152.116434353602,[ -0.47725358  52.02774152  69.16227589]
15,9648.55247631249,[ -0.47725358  52.02774152  69.16227589]
16,10132.579925315144,[ -0.47725358  52.02774152  69.16227589]
17,10604.198781361558,[ -0.47725358  52.02774152  69.16227589]
18,11063.409044451735,[ -0.47725358  52.02774152  69.16227589]
19,11510.210714585673,[ -0.47725358  52.02774152  69.16227589]
20,11944.603791763378,[ -0.47725358  52.02774152  69.16227589]
21,12366.588275984846,[ -0.47725358  52.02774152  69.16227589]
22,12776.164167250075,[ -0.47725358  52.02774152  69.16227589]
23,13173.331465559068,[ -0.47725358  52.02774152  69.16227589]
24,13558.090170911824,[ -0.47725358  52.02774152  69.16227589]
25,13930.440283308342,[ -0.47725358  52.02774152  69.16227589]
26,14290.381802748625,[ -0.47725358  52.02774152  69.16227589]
27,14637.914729232669,[ -0.47725358  52.02774152  69.16227589]
28,14973.039062760476,[ -0.47725358  52.02774152  69.16227589]
29,15295.754803332045,[ -0.47725358  52.02774152  69.16227589]
30,15606.061950947378,[ -0.47725358  52.02774152  69.16227589]
31,15903.960505606476,[ -0.47725358  52.02774152  69.16227589]
32,16189.450467309332,[ -0.47725358  52.02774152  69.16227589]
33,16462.531836055954,[ -0.47725358  52.02774152  69.16227589]
34,16723.20461184634,[ -0.47725358  52.02774152  69.16227589]
35,16971.468794680488,[ -0.47725358  52.02774152  69.16227589]
36,17207.324384558397,[ -0.47725358  52.02774152  69.16227589]
37,17430.77138148007,[ -0.47725358  52.02774152  69.16227589]
38,17641.80978544551,[ -0.47725358  52.02774152  69.16227589]
39,17840.439596454707,[ -0.47725358  52.02774152  69.16227589]
40,18026.66081450767,[ -0.47725358  52.02774152  69.16227589]
41,18200.473439604397,[ -0.47725358  52.02774152  69.16227589]
42,18361.877471744883,[ -0.47725358  52.02774152  69.16227589]
43,18510.872910929134,[ -0.47725358  52.02774152  69.16227589]
44,18647.45975715715,[ -0.47725358  52.02774152  69.16227589]
45,18771.638010428927,[ -0.47725358  52.02774152  69.16227589]
46,18883.40767074447,[ -0.47725358  52.02774152  69.16227589]
47,18982.76873810377,[ -0.47725358  52.02774152  69.16227589]
48,19069.72121250684,[ -0.47725358  52.02774152  69.16227589]
49,19144.265093953665,[ -0.47725358  52.02774152  69.16227589]
50,19206.40038244426,[ -0.47725358  52.02774152  69.16227589]
51,19256.127077978614,[ -0.47725358  52.02774152  69.16227589]
52,19293.445180556733,[ -0.47725358  52.02774152  69.16227589]
53,19318.354690178614,[ -0.47725358  52.02774152  69.16227589]
54,19330.855606844256,[ -0.47725358  52.02774152  69.16227589]
55,19330.947930553662,[ -0.47725358  52.02774152  69.16227589]
56,19318.631661306834,[ -0.47725358  52.02774152  69.16227589]
57,19293.906799103766,[ -0.47725358  52.02774152  69.16227589]
58,19256.77334394446,[ -0.47725358  52.02774152  69.16227589]
59,19207.231295828922,[ -0.47725358  52.02774152  69.16227589]
60,19145.280654757145,[ -0.47725358  52.02774152  69.16227589]
61,19070.921420729126,[ -0.47725358  52.02774152  69.16227589]
62,18984.153593744875,[ -0.47725358  52.02774152  69.16227589]
63,18884.977173804382,[ -0.47725358  52.02774152  69.16227589]
64,18773.392160907657,[ -0.47725358  52.02774152  69.16227589]
65,18649.398555054693,[ -0.47725358  52.02774152  69.16227589]
66,18512.99635624549,[ -0.47725358  52.02774152  69.16227589]
67,18364.185564480053,[ -0.47725358  52.02774152  69.16227589]
68,18202.96617975838,[ -0.47725358  52.02774152  69.16227589]
69,18029.338202080467,[ -0.47725358  52.02774152  69.16227589]
70,17843.301631446317,[ -0.47725358  52.02774152  69.16227589]
71,17644.856467855934,[ -0.47725358  52.02774152  69.16227589]
72,17434.002711309306,[ -0.47725358  52.02774152  69.16227589]
73,17210.74036180645,[ -0.47725358  52.02774152  69.16227589]
74,16975.06941934735,[ -0.47725358  52.02774152  69.16227589]
75,16726.98988393202,[ -0.47725358  52.02774152  69.16227589]
76,16466.50175556045,[ -0.47725358  52.02774152  69.16227589]
77,16193.605034232642,[ -0.47725358  52.02774152  69.16227589]
78,15908.29971994859,[ -0.47725358  52.02774152  69.16227589]
79,15610.585812708308,[ -0.47725358  52.02774152  69.16227589]
80,15300.463312511793,[ -0.47725358  52.02774152  69.16227589]
81,14977.932219359036,[ -0.47725358  52.02774152  69.16227589]
82,14642.992533250046,[ -0.47725358  52.02774152  69.16227589]
83,14295.644254184806,[ -0.47725358  52.02774152  69.16227589]
84,13935.887382163342,[ -0.47725358  52.02774152  69.16227589]
85,13563.721917185638,[ -0.47725358  52.02774152  69.16227589]
86,13179.147859251696,[ -0.47725358  52.02774152  69.16227589]
87,12782.165208361519,[ -0.47725358  52.02774152  69.16227589]
88,12372.773964515105,[ -0.47725358  52.02774152  69.16227589]
89,11950.974127712445,[ -0.47725358  52.02774152  69.16227589]
90,11516.765697953557,[ -0.47725358  52.02774152  69.16227589]
