blinear,lblinear,ublinear,bnhorz10,lbnhorz10,ubnhorz10,bnhorz9,lbnhorz9,ubnhorz9,bnhorz8,lbnhorz8,ubnhorz8,bnhorz7,lbnhorz7,ubnhorz7,bnhorz6,lbnhorz6,ubnhorz6,bnhorz5,lbnhorz5,ubnhorz5,bnhorz4,lbnhorz4,ubnhorz4,bnhorz3,lbnhorz3,ubnhorz3
-0.6294826642479625,-1.2138797625562388,-0.04508556593968627,-0.8678426465754236,-1.4341839943710881,-0.3015012987797593,-0.7416234298255777,-1.313682621568053,-0.1695642380831025,-0.6388722708485084,-1.2197466717935384,-0.05799786990347844,-0.6661383543848606,-1.2476469853043222,-0.08462972346539888,-0.6608882349042782,-1.2420735613606628,-0.07970290844789352,-0.6195875691981301,-1.203025195204083,-0.036149943192177236,-0.4987442100981322,-1.1916729327635536,0.19418451256728908,-0.629482770423355,-1.2138798691267876,-0.04508567171992239
-1.3812594865638752,-1.994677502917921,-0.7678414702098296,-1.03436836986279,-1.5284121632671939,-0.5403245764583859,-0.9449180019441463,-1.4407994874246737,-0.4490365164636191,-0.8539978171377184,-1.356879001601249,-0.3511166326741877,-0.8685393874322985,-1.3719156899648781,-0.3651630848997188,-0.8530712549903403,-1.358795128811853,-0.3473473811688276,-0.8978227760255606,-1.4040221082884037,-0.3916234437627175,-0.7494104287274996,-1.194243015924936,-0.30457784153006323,-0.8804511483437463,-1.390303191385313,-0.37059910530217954
-1.7775201043047861,-2.37868601378218,-1.1763541948273923,-1.1948509381157417,-1.6753985656392247,-0.7143033105922587,-1.1332783427020392,-1.6191434895736727,-0.6474131958304057,-1.05611994133002,-1.5445510979173318,-0.5676887847427081,-1.0592509346736478,-1.5475296034760022,-0.5709722658712935,-1.0384043485639403,-1.5269928997910278,-0.5498157973368528,-1.1431089530048513,-1.6526040531624886,-0.6336138528472139,-0.9567835681934471,-1.3608615185813835,-0.5527056178055108,-1.1073230788208819,-1.6248789414399467,-0.5897672162018169
-1.4110947239174139,-2.0129644670017792,-0.8092249808330484,-1.3495096551274042,-1.8441797697044064,-0.854839540550402,-1.3078015363155733,-1.8088661505030197,-0.8067369221281269,-1.2460246448517753,-1.747093910776242,-0.7449553789273088,-1.238948111627606,-1.7396593235220208,-0.7382368997331913,-1.217131665671242,-1.716800929789066,-0.7174624015534181,-1.3593479735916032,-1.890468169682613,-0.8282277775005933,-1.1283408654116576,-1.5583115691325504,-0.6983701616907647,-1.312412155241295,-1.8574264770035662,-0.767397833479024
-1.49780992667184,-2.0626233783521184,-0.9329964749915618,-1.4985558662398297,-2.01244323366994,-0.9846684988097193,-1.469504074049971,-1.9874130784101356,-0.9515950696898063,-1.4244504186941995,-1.9419531910057946,-0.9069476463826044,-1.4082670431360231,-1.925828989691241,-0.8907050965808051,-1.389488654185485,-1.9063651062656615,-0.8726122021053084,-1.5499796455437718,-2.0962025503070474,-1.0037567407804961,-1.2702681483018812,-1.719486772184284,-0.8210495244194784,-1.4978098339163,-2.062623285144514,-0.9329963826880858
-1.5233663507109254,-2.0972584897929627,-0.9494742116288883,-1.6421932471531502,-2.171429219675594,-1.1129572746307062,-1.6193277746616268,-2.149331179043986,-1.0893243702792677,-1.592091115216604,-2.1221813004959285,-1.0620009299372795,-1.5678071152346371,-2.0988678491964787,-1.0367463812727955,-1.5557023699761376,-2.087062809506891,-1.0243419304453845,-1.7180364294335233,-2.270957807636848,-1.1651150512301987,-1.3876828776968104,-1.8436265934171423,-0.9317391619764785,-1.6654067623242295,-2.238883659722113,-1.091929864926346
-1.6182944655444438,-2.223147185169376,-1.0134417459195117,-1.7806180822539621,-2.32243454817203,-1.2388016163358946,-1.758145269918513,-2.299028373761291,-1.2172621660757346,-1.7495986463613835,-2.290904977477074,-1.2082923152456932,-1.7181330969690878,-2.2616893651774417,-1.1745768287607339,-1.7159917760227787,-2.2604374220480263,-1.1715461299975312,-1.8661916773109744,-2.4246726643183094,-1.3077106903036393,-1.4848186672232513,-1.9482593415914837,-1.0213779928550188,-1.8169120595454051,-2.395200582001173,-1.2386235370896372
-1.8247780362181223,-2.4364596014750672,-1.2130964709611773,-1.9140195328432783,-2.4734796278959505,-1.354559437790606,-1.886765087148527,-2.445775924162679,-1.327754250134375,-1.8975855187734054,-2.456903401634551,-1.3382676359122598,-1.8597771396673908,-2.42293711013647,-1.2966171691983115,-1.8705680308677475,-2.434897807015592,-1.306238254719903,-1.996802158873139,-2.5694115176246806,-1.4241928001215973,-1.5651779343743846,-2.050635538350037,-1.079720330398732,-1.953870745507759,-2.5446991916908135,-1.3630422993247047
-2.1820268490255885,-2.821997308790211,-1.542056389260966,-2.042579895630586,-2.636458759665192,-1.4487010315959803,-2.0059363584185412,-2.5999377531516767,-1.4119349636854057,-2.0366272156822456,-2.6310377297910787,-1.4422167015734124,-1.9932406607462674,-2.593400654821953,-1.393080666670582,-2.01963476678755,-2.622599696185139,-1.4166698373899607,-2.1119455516202605,-2.7153247566498115,-1.5085663465907095,-1.6316581869007645,-2.1602968826934017,-1.1030194911081272,-2.0776794967829795,-2.7002109538091843,-1.4551480397567746
-2.1896009881287917,-2.8701812487832203,-1.509020727474363,-2.166474851847261,-2.823150086521357,-1.5097996171731656,-2.116353183772241,-2.7693622403687366,-1.4633441271757457,-2.1672644348097934,-2.822386963488081,-1.5121419061315056,-2.11899611871997,-2.7821325020452137,-1.4558597353947262,-2.1633883580494837,-2.835116541421275,-1.4916601746776923,-2.2134534913716943,-2.8680331074963172,-1.5588738752470714,-1.686656498018501,-2.278047102397129,-1.0952658936398731,-2.1896008896075463,-2.870181149544976,-1.5090206296701165
