,ISOAlpha_3Code,F2019ngdp_rpch,F2020ngdp_rpch,Code,DeathRate,Population,ForecastError
0,USA,2.0890416614521845,-4.271916972077861,USA,1045.173,328239523.0,-6.360958633530045
1,GBR,1.4475987591739736,-9.76221540192822,GBR,1084.495,66834405.0,-11.209814161102194
2,AUT,1.6999999999999904,-6.719651228010626,AUT,690.842,8877067.0,-8.419651228010617
3,BEL,1.3001869670728805,-8.261982190624728,BEL,1684.957,11484055.0,-9.562169157697609
4,DNK,1.9047475995886964,-4.5000000000000036,DNK,224.09400000000002,5818553.0,-6.4047475995887
5,FRA,1.2631235479729996,-9.757248074656976,FRA,992.118,67059887.0,-11.020371622629977
6,DEU,1.2472783359905204,-5.982818692278046,DEU,403.311,83132799.0,-7.230097028268567
8,ITA,0.5368342939330084,-10.644749243015594,ITA,1226.542,60297396.0,-11.181583536948603
9,LUX,2.77383656768464,-5.799951959564287,LUX,790.765,619896.0,-8.573788527248926
10,NLD,1.6394164484328178,-5.400121522996426,NLD,672.605,17332850.0,-7.039537971429244
11,NOR,2.441399476693684,-2.8343304796792146,NOR,80.42399999999999,5347896.0,-5.275729956372899
12,SWE,1.4617515706641493,-4.715526935705094,SWE,864.122,10285453.0,-6.177278506369244
13,CHE,1.2595188473685903,-5.303698409862623,CHE,883.3430000000001,8574832.0,-6.563217257231213
14,CAN,1.7610142257231454,-7.14135081765066,CAN,414.17900000000003,37589262.0,-8.902365043373806
15,JPN,0.46640109177433775,-5.272898260397907,JPN,26.029,126264931.0,-5.739299352172245
16,FIN,1.464918468559584,-3.9790276657260537,FIN,101.25,5520314.0,-5.443946134285637
17,GRC,2.2199133986719133,-9.50428505986648,GRC,464.163,10716322.0,-11.724198458538392
18,ISL,1.6310563249809507,-7.154429409539476,ISL,84.98200000000001,361313.0,-8.785485734520426
19,IRL,3.500640873980454,-3.004255360996211,IRL,453.036,4941444.0,-6.504896234976664
21,PRT,1.6000072077506644,-10.002333412502884,PRT,677.2769999999999,10269417.0,-11.602340620253548
22,ESP,1.8469401179981082,-12.829999999999997,ESP,1087.3110000000001,47076781.0,-14.676940117998104
23,TUR,2.985974239344902,-4.9852974795994935,TUR,247.584,83429615.0,-7.971271718944395
24,AUS,2.262585366003367,-4.158988930345108,AUS,35.647,25364307.0,-6.421574296348475
25,NZL,2.6990967661304266,-6.066160832568124,NZL,5.184,4917000.0,-8.76525759869855
30,CHL,3.017359212302928,-6.000883116784117,CHL,868.7919999999999,18952038.0,-9.018242329087045
31,COL,3.646472701220471,-8.182110717641466,COL,849.2639999999999,50339443.0,-11.828583418861937
39,MEX,1.307106552367121,-8.954476436540116,MEX,975.757,127575529.0,-10.261582988907236
59,ISR,3.0692088459826072,-5.884542411294191,ISR,384.147,9053300.0,-8.9537512572768
77,KOR,2.218137447482049,-1.8779725752347765,KOR,17.886,51709098.0,-4.096110022716825
154,SVK,2.6999999999999913,-7.085799999999997,SVK,391.601,5454073.0,-9.785799999999988
155,EST,2.8999999999999915,-5.199999999999994,EST,172.63,1326590.0,-8.099999999999985
156,LVA,2.7944055232394405,-5.999999999999995,LVA,336.655,1912789.0,-8.794405523239435
159,HUN,3.299999999999992,-6.100000000000005,HUN,987.2310000000001,9769949.0,-9.399999999999997
163,SVN,2.9356547638162978,-6.700000000000006,SVN,1297.3010000000002,2087946.0,-9.635654763816305
166,POL,3.0830917250255663,-3.560184759133911,POL,754.467,37970874.0,-6.643276484159477
