uf,regiao,2017,2024,var_pct_2017_2024,media_regional
MA,Nordeste,1768.00,1914.00,8.26,-31.24
PI,Nordeste,546.00,584.00,6.96,-31.24
MT,Centro-Oeste,965.00,855.00,-11.40,-40.61
AM,Norte,1191.00,1049.00,-11.92,-36.25
AP,Norte,265.00,216.00,-18.49,-36.25
PB,Nordeste,1185.00,953.00,-19.58,-31.24
MG,Sudeste,3749.00,2853.00,-23.90,-34.40
TO,Norte,291.00,221.00,-24.05,-36.25
PR,Sul,2177.00,1554.00,-28.62,-42.95
SP,Sudeste,3383.00,2377.00,-29.74,-34.40
BA,Nordeste,6131.00,4205.00,-31.41,-31.24
MS,Centro-Oeste,625.00,421.00,-32.64,-40.61
PE,Nordeste,5006.00,3200.00,-36.08,-31.24
CE,Nordeste,5004.00,3178.00,-36.49,-31.24
RO,Norte,669.00,417.00,-37.67,-36.25
AL,Nordeste,1672.00,1023.00,-38.82,-31.24
ES,Sudeste,1365.00,813.00,-40.44,-34.40
RJ,Sudeste,5722.00,3231.00,-43.53,-34.40
SC,Sul,934.00,500.00,-46.47,-42.95
PA,Norte,3949.00,2084.00,-47.23,-36.25
RR,Norte,212.00,108.00,-49.06,-36.25
RS,Sul,3025.00,1399.00,-53.75,-42.95
DF,Centro-Oeste,493.00,207.00,-58.01,-40.61
GO,Centro-Oeste,2246.00,890.00,-60.37,-40.61
AC,Norte,450.00,156.00,-65.33,-36.25
RN,Nordeste,1883.00,636.00,-66.22,-31.24
SE,Nordeste,1101.00,355.00,-67.76,-31.24
